,incident_number,description,category_full,ci_name,owner_group,urgency,priority,sla
499,I230430_000047,"Trigger: Job JOBS.TM_SMC_000_MD_CIF_INIT_01; in workflow TM_SMC_000_MD_CIF_INIT; completed with status ENDED_NOT_OK - aborted;
Responsible team: CORP_ISC_Scheduling
Trigger description: ROQPROD;ENDED_NOT_OK - aborted;1800;0000000000000102;TM_SMC_000_MD_CIF_INIT;JOBP;0430129397;JOBS.TM_SMC_000_MD_CIF_INIT_01;P3
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:CA Automic, EventText:ROQPROD;ENDED_NOT_OK - aborted;1800;0000000000000102;TM_SMC_000_MD_CIF_INIT;JOBP;0430129397;JOBS.TM_SMC_000_MD_CIF_INIT_01;P3, Opened at:1682868, RT:CORP_ISC_Scheduling
Host: S101A779
Host group: Lestrem/Windows, ORDT, Windows/Lestrem
Host description: 
Zabbix event ID: 1065110076",Incidents/Software/Business Application/SAP/Manufacturing/Quality_Quality control,S101A779,CORP_ISC_L1,3 - Low,3.0,8 h office
500,I230416_000129,"Trigger: Thresholded job JOBS.TM_SMC_000_MD_CIF_INIT_01; in workflow TM_SMC_000_MD_CIF_INIT; completed with status ENDED_NOT_OK - aborted;
Responsible team: CORP_ISC_Scheduling
Trigger description: ROQPROD;ENDED_NOT_OK - aborted;1800;0000000000000102;TM_SMC_000_MD_CIF_INIT;JOBP;0424900013;JOBS.TM_SMC_000_MD_CIF_INIT_01;P3
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:CA Automic, EventText:ROQPROD;ENDED_NOT_OK - aborted;1800;0000000000000102;TM_SMC_000_MD_CIF_INIT;JOBP;0424900013;JOBS.TM_SMC_000_MD_CIF_INIT_01;P3, Opened at:1681659, RT:CORP_ISC_Scheduling
Host: S101A779
Host group: Lestrem/Windows, ORDT, Windows/Lestrem
Host description: 
Zabbix event ID: 1052066743",Incidents/Software/Business Application/SAP/SAP Monitoring/TM Monitoring,S101A779,CORP_ISC_L1,3 - Low,3.0,8 h office
501,I230412_000224,"Trigger: Zabbix agent is not running
Responsible team: CORP_ISC_Wintel
Trigger description: There is no data from Zabbix agent, but host is available by ping.
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:Monitoring agent, RT:CORP_ISC_Wintel
Host: S101A345
Host group: IAM, Lestrem/Windows, Windows/Lestrem
Host description: 
Zabbix event ID: 1048483932",Incidents/Infrastructure/System/Server,S101A345,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
502,I230406_000191,"Trigger: ""UALSVC"" (User Access Logging Service) is not running (startup type automatic delayed)
Responsible team: CORP_ISC_Wintel
Trigger description: The service has a state other than ""Running"" for the last three times.
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:Services, RT:CORP_ISC_Wintel
Host: S202A68
Host group: Benifayo Espana/Windows, VPMS, Windows/Benifayo Espana
Host description: 
Zabbix event ID: 1043122215",Incidents/Infrastructure/System/RDS,S202A68,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
503,I230429_000045,"Trigger: C:\ClusterStorage\CLU-GEO-101-CSV-10 Disk space is low (used > 90%)
Responsible team: CORP_ISC_Wintel
Trigger description: Two conditions should match: First, space utilization should be above 90.
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:Filesystem C:\ClusterStorage\CLU-GEO-101-CSV-10, FSNAME:C:\ClusterStorage\CLU-GEO-101-CSV-10, RT:CORP_ISC_Wintel, Severity:Average
Host: S101V103
Host group: Lestrem/Windows, VSRV, Windows/Lestrem
Host description: 
Zabbix event ID: 1064047963",Incidents/Infrastructure/System/Hyper-V,S101V103,CORP_ISC_L1,2 - Medium,2.0,4 h  office
522,I230423_000090,"Trigger: Zabbix agent is not running
Responsible team: CORP_ISC_Wintel
Trigger description: There is no data from Zabbix agent, but host is available by ping.
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:Monitoring agent, RT:CORP_ISC_Wintel
Host: SAASA01
Host group: Azure/Windows, PSRI, Windows/Azure
Host description: 
Zabbix event ID: 1056807627",Incidents/Infrastructure/System/AZURE,SAASA01,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
523,I230423_000094,"Trigger: Host has been restarted (uptime < 15m)
Responsible team: CORP_ISC_Wintel
Trigger description: 
Trigger severity: Warning
Trigger nseverity: 2
Trigger tags: Application:Status, RT:CORP_ISC_Wintel
Host: SAASA01
Host group: Azure/Windows, PSRI, Windows/Azure
Host description: 
Zabbix event ID: 1058593700",Incidents/Infrastructure/System/AZURE,SAASA01,CORP_ISC_L1,3 - Low,4.0,ISC SLA INC P4
524,I230414_000232,"Trigger: Location Crest unavailable
Responsible team: CORP_ISC_Network
Trigger description: Network device FWE999 is not responding to ICMP request.
Trigger severity: Disaster
Trigger nseverity: 5
Trigger tags: Application:Location, RT:CORP_ISC_Network
Host: SAEUA02C
Host group: Azure/Linux, Linux/Azure, ZABX
Host description: 
Zabbix event ID: 1050192136",Incidents/Infrastructure/Network/Monitoring,SAEUA02C,CORP_ISC_L1,1 - High,1.0,4 h  office
525,I230428_000001,"Trigger: F5 BIG-IP: Less than 7 days left until the certificate expires
Responsible team: {EVENT.TAGS.RT}
Trigger description: Please check certificate /Common/apps.portal.roquette.com_wildcard_2022
Trigger severity: Warning
Trigger nseverity: 2
Trigger tags: F5CertName:/Common/apps.portal.roquette.com_wildcard_2022, certificate:/Common/apps.portal.roquette.com_wildcard_2022, class:network, component:certificate, scope:security, target:big-ip, target:f5
Host: F5VI235A
Host group: LEAD, Lestrem/Network, Network/Lestrem
Host description: 
Zabbix event ID: 1062617956",Incidents/Infrastructure/Network/DMZ,F5VI235A,CORP_ISC_L1,3 - Low,4.0,ISC SLA INC P4
526,I230428_000002,"Trigger: F5 BIG-IP: Less than 7 days left until the certificate expires
Responsible team: {EVENT.TAGS.RT}
Trigger description: Please check certificate /Common/apps.portal.roquette.com_wildcard_2022
Trigger severity: Warning
Trigger nseverity: 2
Trigger tags: F5CertName:/Common/apps.portal.roquette.com_wildcard_2022, certificate:/Common/apps.portal.roquette.com_wildcard_2022, class:network, component:certificate, scope:security, target:big-ip, target:f5
Host: F5VI200A
Host group: LEAD, Lestrem/Network, Network/Lestrem
Host description: 
Zabbix event ID: 1062618005",Incidents/Infrastructure/Network/DMZ,F5VI200A,CORP_ISC_L1,3 - Low,4.0,ISC SLA INC P4
527,I230429_000008,"Trigger: Job JOBS.QLIK.LAUNCH.TASK; in workflow QLIK.TASK_GLOBAL_SNG_EXTRACT_SAP_BW_TD_DELTA_SUPPLCH; completed with status ENDED_NOT_OK - aborted;
Responsible team: CORP_ISC_Scheduling
Trigger description: ROQPROD;ENDED_NOT_OK - aborted;1800;0000000000000001;QLIK.TASK_GLOBAL_SNG_EXTRACT_SAP_BW_TD_DELTA_SUPPLCH;JOBP;0429499227;JOBS.QLIK.LAUNCH.TASK;P3
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:CA Automic, EventText:ROQPROD;ENDED_NOT_OK - aborted;1800;0000000000000001;QLIK.TASK_GLOBAL_SNG_EXTRACT_SAP_BW_TD_DELTA_SUPPLCH;JOBP;0429499227;JOBS.QLIK.LAUNCH.TASK;P3, Opened at:1682738, RT:CORP_ISC_Scheduling
Host: S101A779
Host group: Lestrem/Windows, ORDT, Windows/Lestrem
Host description: 
Zabbix event ID: 1063631545Trigger: Job JOBS.QLIK.LAUNCH.TASK; in workflow QLIK.TASK_GLOBAL_SNG_EXTRACT_SAP_BW_TD_FULL_SUPPLCH; completed with status ENDED_NOT_OK - aborted;
Responsible team: CORP_ISC_Scheduling
Trigger description: ROQPROD;ENDED_NOT_OK - aborted;1800;0000000000000001;QLIK.TASK_GLOBAL_SNG_EXTRACT_SAP_BW_TD_FULL_SUPPLCH;JOBP;0429643872;JOBS.QLIK.LAUNCH.TASK;P3
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:CA Automic, EventText:ROQPROD;ENDED_NOT_OK - aborted;1800;0000000000000001;QLIK.TASK_GLOBAL_SNG_EXTRACT_SAP_BW_TD_FULL_SUPPLCH;JOBP;0429643872;JOBS.QLIK.LAUNCH.TASK;P3, Opened at:1682775, RT:CORP_ISC_Scheduling
Host: S101A779
Host group: Lestrem/Windows, ORDT, Windows/Lestrem
Host description: 
Zabbix event ID: 1064033768",Incidents/Infrastructure/ERP/Scheduling/One Automation,S101A779,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
528,I230426_000070,"Trigger: Process sqlplus_server != 1
Responsible team: CORP_ISC_Wintel
Trigger description: 
Trigger severity: Warning
Trigger nseverity: 2
Trigger tags: Application:BDTR_V101_IP21, Host:S260A184, Id:009, RT:CORP_ISC_Wintel
Host: S260A184
Host group: ST/Windows, TMES, Windows/ST
Host description: 
Zabbix event ID: 1061079395",Incidents/Infrastructure/System/Manufacturing Apps,S260A184,CORP_ISC_L1,3 - Low,4.0,ISC SLA INC P4
529,I230425_000018,"Trigger: Job JOBS.SARE.FEX_0053_WAFS_DAILY_BACKUP; in workflow SARE.FEX_0053_101_D_WAFS_PROD_S92BV101; completed with status ENDED_NOT_OK - aborted;
Responsible team: CORP_ISC_Scheduling
Trigger description: ROQPROD;ENDED_NOT_OK - aborted;1800;0000000000000001;SARE.FEX_0053_101_D_WAFS_PROD_S92BV101;JOBP;0428057715;JOBS.SARE.FEX_0053_WAFS_DAILY_BACKUP;P3
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:CA Automic, EventText:ROQPROD;ENDED_NOT_OK - aborted;1800;0000000000000001;SARE.FEX_0053_101_D_WAFS_PROD_S92BV101;JOBP;0428057715;JOBS.SARE.FEX_0053_WAFS_DAILY_BACKUP;P3, Opened at:1682395, RT:CORP_ISC_Scheduling
Host: S101A779
Host group: Lestrem/Windows, ORDT, Windows/Lestrem
Host description: 
Zabbix event ID: 1060005305",Incidents/Infrastructure/ERP/Scheduling/One Automation,S101A779,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
530,I230410_000137,"Trigger: E: Disk space is low (used > 90%)
Responsible team: CORP_ISC_Wintel
Trigger description: 134.42 GB of 139.87 GB (96.1 %)
Trigger severity: Warning
Trigger nseverity: 2
Trigger tags: Application:Filesystem E:, FSNAME:E:, RT:CORP_ISC_Wintel, Severity:Warning
Host: S210V100
Host group: Keokuk/Windows, VSRV, Windows/Keokuk
Host description: 
Zabbix event ID: 1046702025",Incidents/Infrastructure/System/Hyper-V,S210V100,CORP_ISC_L1,3 - Low,3.0,1 working day
531,I230401_000027,"Trigger: Host has been restarted (uptime < 15m)
Responsible team: CORP_ISC_Wintel
Trigger description: 
Trigger severity: Warning
Trigger nseverity: 2
Trigger tags: Application:Status, RT:CORP_ISC_Wintel
Host: S208V101
Host group: Gurnee/Windows, VSRV, Windows/Gurnee
Host description: 
Zabbix event ID: 1038194626",Incidents/Infrastructure/System/Hyper-V,S208V101,CORP_ISC_L1,3 - Low,4.0,ISC SLA INC P4
532,I230402_000055,"Trigger: ""W32Time"" (Windows Time) is not running (startup type automatic)
Responsible team: CORP_ISC_Wintel
Trigger description: The service has a state other than ""Running"" for the last three times.
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:Services, RT:CORP_ISC_Wintel
Host: S101T02A
Host group: AD_E, Lestrem/Windows, Windows/Lestrem
Host description: 
Zabbix event ID: 1039066445",Incidents/Infrastructure/System/Domain controler,S101T02A,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
533,I230430_000074,"Trigger: C:\ClusterStorage\CLU-GEO-101-CSV-07 Disk space is low (used > 95%)
Responsible team: CORP_ISC_Wintel
Trigger description: 
Trigger severity: High
Trigger nseverity: 4
Trigger tags: Application:Filesystem C:\ClusterStorage\CLU-GEO-101-CSV-07, FSNAME:C:\ClusterStorage\CLU-GEO-101-CSV-07, RT:CORP_ISC_Wintel, Severity:High
Host: S101V105
Host group: Lestrem/Windows, VSRV, Windows/Lestrem
Host description: 
Zabbix event ID: 1065168269",Incidents/Infrastructure/System/Hyper-V,S101V105,CORP_ISC_L1,2 - Medium,2.0,ISC SLA INC P2
534,I230409_000020,"Trigger: ""SessionEnv"" (Remote Desktop Configuration) is not running (startup type automatic)
Responsible team: CORP_ISC_Wintel
Trigger description: The service has a state other than ""Running"" for the last three times.
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:Services, RT:CORP_ISC_Wintel
Host: S202A68
Host group: Benifayo Espana/Windows, VPMS, Windows/Benifayo Espana
Host description: 
Zabbix event ID: 1045507837",Incidents/Infrastructure/System/RDS,S202A68,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
535,I230414_000203,"Trigger: DNS Server Event ID - 4016 Event - The DNS server timed out attempting an Active Directory service operation on ---.  Check Active Directory to see that it is functioning properly. The event data contains the error.
Responsible team: CORP_ISC_Wintel
Trigger description: The DNS server timed out attempting an Active Directory service operation on ---.  Check Active Directory to see that it is functioning properly. The event data contains the error.
Opened at: 1681474
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: App_Source:Microsoft-Windows-DNS-Server-Service, Application:Event log DNS, EVENT_ID:4016, Host:S244T01R, Opened at:1681474, RT:CORP_ISC_Wintel
Host: S244T01R
Host group: AD_E, Windows/Wuhan, Wuhan/Windows
Host description: 
Zabbix event ID: 1050141967",Incidents/Infrastructure/System/Domain controler,S244T01R,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
536,I230425_000011,"Trigger: Job JOBS.SDU_MN55_FEX_0203_89; in workflow SDU_MN55_FEX_0203; completed with status ENDED_NOT_OK - aborted;
Responsible team: CORP_ISC_Scheduling
Trigger description: ROQPROD;ENDED_NOT_OK - aborted;1800;0000000000000002;SDU_MN55_FEX_0203;JOBP;0428020309;JOBS.SDU_MN55_FEX_0203_89;P3
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:CA Automic, EventText:ROQPROD;ENDED_NOT_OK - aborted;1800;0000000000000002;SDU_MN55_FEX_0203;JOBP;0428020309;JOBS.SDU_MN55_FEX_0203_89;P3, Opened at:1682388, RT:CORP_ISC_Scheduling
Host: S101A779
Host group: Lestrem/Windows, ORDT, Windows/Lestrem
Host description: 
Zabbix event ID: 1059935741",Incidents/Infrastructure/ERP/Scheduling/One Automation,S101A779,CORP_ISC_L1,3 - Low,3.0,ISC SLA INC P3
537,I230414_000262,"Trigger: Zabbix agent and host is not available
Responsible team: CORP_ISC_Wintel
Trigger description: There is no data from Zabbix agent and host is not available by ping.
Trigger severity: High
Trigger nseverity: 4
Trigger tags: Application:Monitoring agent, RT:CORP_ISC_Wintel
Host: SAASA01
Host group: Azure/Windows, PSRI, Windows/Azure
Host description: 
Zabbix event ID: 1050249635",Incidents/Infrastructure/System/Server,SAASA01,CORP_ISC_L1,2 - Medium,2.0,ISC SLA INC P2
538,I230420_000215,"Trigger: E: Disk space is low (used > 90%)
Responsible team: CORP_ISC_Wintel
Trigger description: 491.03 GB of 499.87 GB (98.23 %)
Trigger severity: Warning
Trigger nseverity: 2
Trigger tags: Application:Filesystem E:, FSNAME:E:, RT:CORP_ISC_Wintel, Severity:Warning
Host: S361A01
Host group: Panevezys/Windows, SCCMDHCP, Windows/Panevezys
Host description: 
Zabbix event ID: 1055920986",Incidents/Infrastructure/System/SCCM,S361A01,CORP_ISC_L1,3 - Low,4.0,ISC SLA INC P4
539,I230429_000034,"Trigger: C:\ClusterStorage\CLU-GEO-101-CSV-10 Disk space is low (used > 85%)
Responsible team: CORP_ISC_Wintel
Trigger description: 
Trigger severity: Warning
Trigger nseverity: 2
Trigger tags: Application:Filesystem C:\ClusterStorage\CLU-GEO-101-CSV-10, FSNAME:C:\ClusterStorage\CLU-GEO-101-CSV-10, RT:CORP_ISC_Wintel, Severity:Warning
Host: S101V109
Host group: Lestrem/Windows, VSRV, Windows/Lestrem
Host description: 
Zabbix event ID: 1063850868",Incidents/Infrastructure/System/Hyper-V,S101V109,CORP_ISC_L1,3 - Low,4.0,ISC SLA INC P4
540,I230414_000282,"Trigger: ""WfService"" (WfService) is not running (startup type automatic)
Responsible team: CORP_ISC_Wintel
Trigger description: The service has a state other than ""Running"" for the last three times.
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:Services, RT:CORP_ISC_Wintel
Host: S201A161
Host group: ADOC, Cassano Spinola/Windows, Windows/Cassano Spinola
Host description: 
Zabbix event ID: 1050363010",Incidents/Infrastructure/System/Server,S201A161,CORP_ISC_L1,3 - Low,4.0,ISC SLA INC P4
541,I230415_000053,"Trigger: Zabbix agent is not running
Responsible team: CORP_ISC_Wintel
Trigger description: There is no data from Zabbix agent, but host is available by ping.
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:Monitoring agent, RT:CORP_ISC_Wintel
Host: S210A860
Host group: Keokuk/Windows, VSRV, Windows/Keokuk
Host description: 
Zabbix event ID: 1050815518",Incidents/Infrastructure/System/Hyper-V/scvmm,S210A860,CORP_ISC_L1,3 - Low,4.0,ISC SLA INC P4
542,I230428_000213,"Trigger: SAP Solman detect problem on PTM~ABAP such as High number of ABAP Short Dumps
Responsible team: CORP_ISC_SAP
Trigger description: 20230428172323;PTM~ABAP;005056A5D24B1EDDB9BB13B4BD37E53C;High number of ABAP Short Dumps;High;A high number of short dumps was generated on ABAP system PTM.Analysis Tools:Display the system short dumps statistics in the https://sapsmprd.roquette.corp.priv:8001/sap/bc/webdynpro/sap/diag_app_starter?APP_ID=RCA_E2E_EXCEPTION_ANALYSIS&DATABASES&HOSTS&TECH_SCEN&TECH_SYS=PTM%7eABAP&sap-client=400&sap-language=EN E2E Exception Analysis.Analyze the short dumps in https://seap60a.roquette.corp.priv:8001/sap/bc/gui/sap/its/webgui?%7etransaction=ST22&sap-language=EN&sap-client=400 transaction ST22.
Opened at: 1682695
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:SAP Solman, Host:seap50s, Opened at:1682695, RT:CORP_ISC_SAP, TriggerValue:PTM~ABAP such as High number of ABAP Short Dumps
Host: SEAP50S
Host group: Lestrem/Linux, Linux/Lestrem, SSMT
Host description: 
Zabbix event ID: 1063197336",Incidents/Software/Business Application/SAP/SAP Monitoring/SAP Dumps,SEAP50S,CORP_ISC_L1,3 - Low,3.0,8 h office
543,I230427_000227,"Trigger: Zabbix agent and host is not available
Responsible team: CORP_ISC_Wintel
Trigger description: There is no data from Zabbix agent and host is not available by ping.
Trigger severity: High
Trigger nseverity: 4
Trigger tags: Application:Monitoring agent, RT:CORP_ISC_Wintel
Host: S208T01A
Host group: AD_E, Gurnee/Windows, Windows/Gurnee
Host description: 
Zabbix event ID: 1062244458Trigger: Switch 2 - Power Supply B, Normal: Power supply is in critical state
Responsible team: {EVENT.TAGS.RT}
Trigger description: Please check the power supply unit for errors
Trigger severity: Average
Trigger nseverity: 3
Trigger tags: Application:Power supply
Host: SWG856A
Host group: GIGA, Gurnee/Network, Network/Gurnee
Host description: 
Zabbix event ID: 1062229660----Closed automatically after 10 days",Incidents/Infrastructure/System/Domain controler,S208T01A,CORP_ISC_L1,2 - Medium,2.0,ISC SLA INC P2
